2026-03-20 13:43:49,626 | INFO | app.pipeline.runner | Starting mining cycle 1/999999
2026-03-20 13:43:49,630 | INFO | app.pipeline.runner | Running generation 1/3
2026-03-20 13:43:49,641 | INFO | app.pipeline.runner | Preparing simulation template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)
2026-03-20 13:43:49,644 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)
2026-03-20 13:43:50,575 | INFO | app.api.clients | WorldQuant login succeeded using basic auth
2026-03-20 13:43:50,896 | INFO | app.api.clients | Simulation submitted simulation_id=2cCRMRd1O4qqbDM16cKEcVNe expression=ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)
2026-03-20 13:43:50,899 | INFO | app.pipeline.runner | Simulation accepted template=volatility_reversion simulation_id=2cCRMRd1O4qqbDM16cKEcVNe
2026-03-20 13:45:06,061 | INFO | events | completed alpha_id=1 status=complete sharpe=-1.4000 fitness=-0.4000
2026-03-20 13:45:06,063 | INFO | app.pipeline.runner | Simulation completed simulation_id=2cCRMRd1O4qqbDM16cKEcVNe alpha_id=O0kWo8Eq sharpe=-1.4000 fitness=-0.4000 returns=-0.1140 drawdown=0.5888 behavior_similarity=0.0000
2026-03-20 13:45:06,075 | INFO | app.pipeline.runner | Preparing simulation template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 5)), industry))
2026-03-20 13:45:06,076 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 5)), industry))
2026-03-20 13:45:07,039 | INFO | app.api.clients | Simulation submitted simulation_id=2qg1zpe444GH9kuSkoOmh4a expression=rank(group_neutralize((returns - ts_mean(returns, 5)), industry))
2026-03-20 13:45:07,042 | INFO | app.pipeline.runner | Simulation accepted template=mean_reversion simulation_id=2qg1zpe444GH9kuSkoOmh4a
2026-03-20 13:46:22,139 | INFO | events | completed alpha_id=2 status=complete sharpe=-0.5400 fitness=-0.1100
2026-03-20 13:46:22,141 | INFO | app.pipeline.runner | Simulation completed simulation_id=2qg1zpe444GH9kuSkoOmh4a alpha_id=vR91OjEA sharpe=-0.5400 fitness=-0.1100 returns=-0.0520 drawdown=0.3418 behavior_similarity=0.7005
2026-03-20 13:46:22,154 | INFO | app.pipeline.runner | Preparing simulation template=liquidity_reversal expression=zscore(group_neutralize(((close - ts_mean(close, 40)) / (1 + ts_rank(volume, 40))), sector))
2026-03-20 13:46:22,156 | INFO | events | preparing template=liquidity_reversal expression=zscore(group_neutralize(((close - ts_mean(close, 40)) / (1 + ts_rank(volume, 40))), sector))
2026-03-20 13:46:23,112 | INFO | app.api.clients | Simulation submitted simulation_id=3Tj2N36rl4px9vqQM69nnpH expression=zscore(group_neutralize(((close - ts_mean(close, 40)) / (1 + ts_rank(volume, 40))), sector))
2026-03-20 13:46:23,114 | INFO | app.pipeline.runner | Simulation accepted template=liquidity_reversal simulation_id=3Tj2N36rl4px9vqQM69nnpH
