expression,template_type,error
"rank(group_neutralize((returns - ts_mean(returns, 5)), industry))",mean_reversion,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((book_value / (1 + sales)), 20) - ts_rank(sales, 20)))",quality_value,Simulation failed with status: error
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank(group_neutralize((returns - ts_mean(returns, 5)), sector))",mean_reversion,exact-fingerprint-match
"zscore((ts_rank((book_value / (1 + sales)), 20) - ts_rank(sales, 20)))",quality_value,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore(group_neutralize((returns - ts_mean(returns, 5)), sector))",mean_reversion,exact-fingerprint-match
"rank(group_neutralize((returns - ts_mean(returns, 5)), sector))",mean_reversion,exact-fingerprint-match
"zscore((ts_rank((book_value / (1 + sales)), 20) - ts_rank(sales, 20)))",quality_value,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_rank(returns, 120) - ts_rank(returns, 120)))",momentum,identity-subtraction
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(returns, 120) - ts_rank(returns, 120)))",momentum,identity-subtraction
"rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))))",volatility_reversion,exact-fingerprint-match
"ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)), 10)",momentum,high-structural-overlap
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(returns, 120) - ts_rank(returns, 120)))",momentum,identity-subtraction
