expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,complete,IS,TOP3000,0,0.0,-1.4,-0.4,-0.114,0.5888,1.3751,-0.000166,-0.706784
"rank(group_neutralize((returns - ts_mean(returns, 5)), industry))",mean_reversion,complete,IS,TOP3000,0,0.7005187524874934,-0.54,-0.11,-0.052,0.3418,1.3113,-7.9e-05,-0.24791400000000002
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,complete,IS,TOP3000,0,0.7174047662710566,0.02,0.0,0.0015,0.2223,0.3807,8e-06,-0.0005489999999999991
"rank(group_neutralize((returns - ts_mean(returns, 5)), sector))",mean_reversion,complete,IS,TOP3000,0,1.0,-0.58,-0.12,-0.0575,0.3691,1.3332,-8.6e-05,-1.267673
"rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))))",volatility_reversion,complete,IS,TOP3000,0,0.9549473478967874,-1.2,-0.37,-0.1247,0.6496,1.3306,-0.000187,-1.6299640000000002
"zscore(group_neutralize((returns - ts_mean(returns, 5)), sector))",mean_reversion,complete,IS,TOP3000,0,0.9244107717064591,-0.44,-0.09,-0.0624,0.4785,1.4505,-8.6e-05,-1.209847
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,complete,IS,TOP3000,0,0.7949261851831471,-0.99,-0.42,-0.0904,0.5194,0.5115,-0.000354,-0.5928140000000001
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,complete,IS,TOP3000,0,0.7032679765732665,0.77,0.15,0.0414,0.068,1.1186,7.4e-05,0.329772
"rank((ts_delta(returns, 10) - ts_delta(returns, 20)))",acceleration,complete,IS,TOP3000,0,0.7936048963645697,-0.65,-0.13,-0.0524,0.2657,1.3405,-7.8e-05,-0.291663
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 120)))",acceleration,complete,IS,TOP3000,0,0.9230586306931281,0.12,0.04,0.0148,0.2573,0.1139,0.00026,-0.944535
"rank(((returns - ts_mean(returns, 120)) / (1 + ts_std_dev(returns, 120))))",volatility_reversion,complete,IS,TOP3000,0,0.9284903651387386,-1.28,-0.41,-0.135,0.6984,1.3349,-0.000202,-1.682252
"rank((ts_rank(vwap, 10) - ts_rank(sales, 10)))",fundamental_cross,complete,IS,TOP3000,0,0.8551016386845466,-1.45,-0.66,-0.1331,0.6895,0.6517,-0.000408,-0.8953330000000002
"zscore((ts_delta(vwap, 20) - ts_delta(vwap, 120)))",acceleration,complete,IS,TOP3000,0,1.0,-0.01,-0.0,-0.0016,0.2583,0.122,-2.6e-05,-1.010877
